participant_id,variant,image_id,ground_truth,initial_response,had_doubt,ai_confidence_score,post_suggestion_action,effective_final_response
P0003,alpha,alpha_09,real,real,yes,55,confirm,real
P0003,alpha,alpha_10,AI_magnific,real,yes,52,confirm,real
P0003,alpha,alpha_11,real,AI,yes,91,change,real
P0003,alpha,alpha_12,AI_midjourney,AI,yes,62,change,real
P0003,alpha,alpha_13,AI_magnific,real,yes,85,change,AI
P0003,alpha,alpha_14,AI_midjourney,real,no,66,change,AI
P0003,alpha,alpha_15,AI_magnific,AI,yes,78,change,real
P0004,alpha,alpha_01,real,real,no,86,confirm,real
P0004,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0004,alpha,alpha_03,real,AI,no,78,confirm,AI
P0004,alpha,alpha_04,AI_midjourney,AI,no,74,confirm,AI
P0004,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0004,alpha,alpha_06,AI_midjourney,AI,no,38,confirm,AI
P0004,alpha,alpha_07,real,real,no,82,confirm,real
P0004,alpha,alpha_08,AI_midjourney,real,yes,78,confirm,real
P0004,alpha,alpha_09,real,real,yes,55,confirm,real
P0004,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0004,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0004,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0004,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0004,alpha,alpha_14,AI_midjourney,real,no,66,confirm,real
P0004,alpha,alpha_15,AI_magnific,real,yes,78,confirm,real
P0005,alpha,alpha_01,real,real,yes,86,confirm,real
P0005,alpha,alpha_02,AI_magnific,AI,no,88,confirm,AI
P0005,alpha,alpha_03,real,real,no,78,confirm,real
P0005,alpha,alpha_04,AI_midjourney,real,no,74,confirm,real
P0005,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0005,alpha,alpha_06,AI_midjourney,real,yes,38,confirm,real
P0005,alpha,alpha_07,real,real,no,82,confirm,real
P0005,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0005,alpha,alpha_09,real,real,no,55,change,AI
P0005,alpha,alpha_10,AI_magnific,AI,yes,52,confirm,AI
P0005,alpha,alpha_11,real,real,yes,91,confirm,real
P0005,alpha,alpha_12,AI_midjourney,real,no,62,confirm,real
P0005,alpha,alpha_13,AI_magnific,AI,yes,85,confirm,AI
P0005,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0005,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0006,alpha,alpha_01,real,real,no,86,confirm,real
P0006,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0006,alpha,alpha_03,real,real,yes,78,change,AI
P0006,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0006,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0006,alpha,alpha_06,AI_midjourney,AI,yes,38,change,real
P0006,alpha,alpha_07,real,real,no,82,confirm,real
P0006,alpha,alpha_08,AI_midjourney,real,yes,78,change,AI
P0006,alpha,alpha_09,real,real,no,55,confirm,real
P0006,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0006,alpha,alpha_11,real,real,yes,91,change,AI
P0006,alpha,alpha_12,AI_midjourney,real,no,62,confirm,real
P0006,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0006,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0006,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0007,alpha,alpha_01,real,real,no,86,confirm,real
P0007,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0007,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0007,alpha,alpha_04,AI_midjourney,AI,no,74,confirm,AI
P0007,alpha,alpha_05,AI_magnific,AI,yes,67,change,real
P0007,alpha,alpha_06,AI_midjourney,AI,no,38,change,real
P0007,alpha,alpha_07,real,real,no,82,confirm,real
P0007,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0007,alpha,alpha_09,real,real,no,55,confirm,real
P0007,alpha,alpha_10,AI_magnific,AI,no,52,confirm,AI
P0007,alpha,alpha_11,real,real,yes,91,confirm,real
P0007,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0007,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0007,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0007,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0008,alpha,alpha_01,real,real,yes,86,confirm,real
P0008,alpha,alpha_02,AI_magnific,AI,no,88,confirm,AI
P0008,alpha,alpha_03,real,AI,no,78,confirm,AI
P0008,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0008,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0008,alpha,alpha_06,AI_midjourney,real,no,38,confirm,real
P0008,alpha,alpha_07,real,real,no,82,change,AI
P0008,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0008,alpha,alpha_09,real,real,yes,55,change,AI
P0008,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0008,alpha,alpha_11,real,real,no,91,confirm,real
P0008,alpha,alpha_12,AI_midjourney,AI,yes,62,change,real
P0008,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0008,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0008,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0009,alpha,alpha_01,real,real,yes,86,confirm,real
P0009,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0009,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0009,alpha,alpha_04,AI_midjourney,real,yes,74,confirm,real
P0009,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0009,alpha,alpha_06,AI_midjourney,real,yes,38,confirm,real
P0009,alpha,alpha_07,real,real,no,82,confirm,real
P0009,alpha,alpha_08,AI_midjourney,AI,no,78,confirm,AI
P0009,alpha,alpha_09,real,real,yes,55,confirm,real
P0009,alpha,alpha_10,AI_magnific,real,yes,52,confirm,real
P0009,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0009,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0009,alpha,alpha_13,AI_magnific,real,yes,85,confirm,real
P0009,alpha,alpha_14,AI_midjourney,real,yes,66,confirm,real
P0009,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0010,alpha,alpha_01,real,real,yes,86,confirm,real
P0010,alpha,alpha_02,AI_magnific,AI,no,88,confirm,AI
P0010,alpha,alpha_03,real,AI,no,78,confirm,AI
P0010,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0010,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0010,alpha,alpha_06,AI_midjourney,AI,no,38,confirm,AI
P0010,alpha,alpha_07,real,AI,no,82,confirm,AI
P0010,alpha,alpha_08,AI_midjourney,AI,no,78,confirm,AI
P0010,alpha,alpha_09,real,AI,no,55,confirm,AI
P0010,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0010,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0010,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0010,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0010,alpha,alpha_14,AI_midjourney,real,no,66,confirm,real
P0010,alpha,alpha_15,AI_magnific,AI,no,78,confirm,AI
P0011,alpha,alpha_01,real,AI,yes,86,confirm,AI
P0011,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0011,alpha,alpha_03,real,AI,no,78,confirm,AI
P0011,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0011,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0011,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0011,alpha,alpha_07,real,real,no,82,confirm,real
P0011,alpha,alpha_08,AI_midjourney,AI,no,78,confirm,AI
P0011,alpha,alpha_09,real,real,no,55,confirm,real
P0011,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0011,alpha,alpha_11,real,AI,no,91,confirm,AI
P0011,alpha,alpha_12,AI_midjourney,real,no,62,confirm,real
P0011,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0011,alpha,alpha_14,AI_midjourney,AI,no,66,confirm,AI
P0011,alpha,alpha_15,AI_magnific,AI,no,78,confirm,AI
P0012,alpha,alpha_01,real,real,no,86,confirm,real
P0012,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0012,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0012,alpha,alpha_04,AI_midjourney,real,yes,74,confirm,real
P0012,alpha,alpha_05,AI_magnific,real,no,67,confirm,real
P0012,alpha,alpha_06,AI_midjourney,AI,no,38,confirm,AI
P0012,alpha,alpha_07,real,real,no,82,confirm,real
P0012,alpha,alpha_08,AI_midjourney,AI,no,78,confirm,AI
P0012,alpha,alpha_09,real,AI,no,55,confirm,AI
P0012,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0012,alpha,alpha_11,real,real,no,91,confirm,real
P0012,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0012,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0012,alpha,alpha_14,AI_midjourney,real,no,66,confirm,real
P0012,alpha,alpha_15,AI_magnific,AI,no,78,confirm,AI
P0013,alpha,alpha_01,real,real,no,86,confirm,real
P0013,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0013,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0013,alpha,alpha_04,AI_midjourney,AI,no,74,confirm,AI
P0013,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0013,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0013,alpha,alpha_07,real,real,no,82,confirm,real
P0013,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0013,alpha,alpha_09,real,real,no,55,confirm,real
P0013,alpha,alpha_10,AI_magnific,AI,no,52,confirm,AI
P0013,alpha,alpha_11,real,real,no,91,confirm,real
P0013,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0013,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0013,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0013,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0014,alpha,alpha_01,real,real,no,86,confirm,real
P0014,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0014,alpha,alpha_03,real,real,no,78,confirm,real
P0014,alpha,alpha_04,AI_midjourney,real,no,74,confirm,real
P0014,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0014,alpha,alpha_06,AI_midjourney,AI,no,38,confirm,AI
P0014,alpha,alpha_07,real,real,no,82,confirm,real
P0014,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0014,alpha,alpha_09,real,real,no,55,confirm,real
P0014,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0014,alpha,alpha_11,real,real,no,91,confirm,real
P0014,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0014,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0014,alpha,alpha_14,AI_midjourney,AI,no,66,confirm,AI
P0014,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0015,alpha,alpha_01,real,AI,yes,86,confirm,AI
P0015,alpha,alpha_02,AI_magnific,AI,yes,88,confirm,AI
P0015,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0015,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0015,alpha,alpha_05,AI_magnific,real,yes,67,confirm,real
P0015,alpha,alpha_06,AI_midjourney,real,no,38,confirm,real
P0015,alpha,alpha_07,real,real,yes,82,confirm,real
P0015,alpha,alpha_08,AI_midjourney,real,no,78,confirm,real
P0015,alpha,alpha_09,real,real,yes,55,confirm,real
P0015,alpha,alpha_10,AI_magnific,AI,no,52,confirm,AI
P0015,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0015,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0015,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0015,alpha,alpha_14,AI_midjourney,AI,no,66,confirm,AI
P0015,alpha,alpha_15,AI_magnific,AI,no,78,confirm,AI
P0016,alpha,alpha_01,real,real,yes,86,change,AI
P0016,alpha,alpha_02,AI_magnific,real,no,88,change,AI
P0016,alpha,alpha_03,real,AI,no,78,change,real
P0016,alpha,alpha_04,AI_midjourney,AI,no,74,change,real
P0016,alpha,alpha_05,AI_magnific,AI,no,67,change,real
P0016,alpha,alpha_06,AI_midjourney,AI,no,38,change,real
P0016,alpha,alpha_07,real,real,no,82,change,AI
P0016,alpha,alpha_08,AI_midjourney,AI,no,78,change,real
P0016,alpha,alpha_09,real,AI,yes,55,change,real
P0016,alpha,alpha_10,AI_magnific,AI,yes,52,change,real
P0016,alpha,alpha_11,real,AI,no,91,change,real
P0016,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0016,alpha,alpha_13,AI_magnific,AI,yes,85,confirm,AI
P0016,alpha,alpha_14,AI_midjourney,AI,no,66,confirm,AI
P0016,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0017,alpha,alpha_01,real,real,no,86,confirm,real
P0017,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0017,alpha,alpha_03,real,real,yes,78,confirm,real
P0017,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0017,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0017,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0017,alpha,alpha_07,real,real,no,82,confirm,real
P0017,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0017,alpha,alpha_09,real,AI,yes,55,confirm,AI
P0017,alpha,alpha_10,AI_magnific,AI,yes,52,confirm,AI
P0017,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0017,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0017,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0017,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0017,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0018,alpha,alpha_01,real,AI,yes,86,confirm,AI
P0018,alpha,alpha_02,AI_magnific,AI,no,88,confirm,AI
P0018,alpha,alpha_03,real,AI,no,78,confirm,AI
P0018,alpha,alpha_04,AI_midjourney,real,yes,74,confirm,real
P0018,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0018,alpha,alpha_06,AI_midjourney,AI,no,38,confirm,AI
P0018,alpha,alpha_07,real,AI,no,82,confirm,AI
P0018,alpha,alpha_08,AI_midjourney,AI,no,78,confirm,AI
P0018,alpha,alpha_09,real,AI,no,55,confirm,AI
P0018,alpha,alpha_10,AI_magnific,AI,no,52,confirm,AI
P0018,alpha,alpha_11,real,real,yes,91,confirm,real
P0018,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0018,alpha,alpha_13,AI_magnific,AI,no,85,confirm,AI
P0018,alpha,alpha_14,AI_midjourney,AI,no,66,confirm,AI
P0018,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0019,alpha,alpha_01,real,real,yes,86,change,AI
P0019,alpha,alpha_02,AI_magnific,real,yes,88,change,AI
P0019,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0019,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0019,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0019,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0019,alpha,alpha_07,real,real,yes,82,confirm,real
P0019,alpha,alpha_08,AI_midjourney,real,yes,78,confirm,real
P0019,alpha,alpha_09,real,real,yes,55,confirm,real
P0019,alpha,alpha_10,AI_magnific,real,yes,52,confirm,real
P0019,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0019,alpha,alpha_12,AI_midjourney,real,yes,62,confirm,real
P0019,alpha,alpha_13,AI_magnific,real,yes,85,confirm,real
P0019,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0019,alpha,alpha_15,AI_magnific,real,yes,78,confirm,real
P0020,alpha,alpha_01,real,real,no,86,confirm,real
P0020,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0020,alpha,alpha_03,real,AI,no,78,confirm,AI
P0020,alpha,alpha_04,AI_midjourney,AI,no,74,confirm,AI
P0020,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0020,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0020,alpha,alpha_07,real,real,no,82,confirm,real
P0020,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0020,alpha,alpha_09,real,real,no,55,confirm,real
P0020,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0020,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0020,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0020,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0020,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0020,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0021,alpha,alpha_01,real,real,yes,86,confirm,real
P0021,alpha,alpha_02,AI_magnific,AI,yes,88,confirm,AI
P0021,alpha,alpha_03,real,real,yes,78,confirm,real
P0021,alpha,alpha_04,AI_midjourney,real,no,74,confirm,real
P0021,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0021,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0021,alpha,alpha_07,real,real,no,82,confirm,real
P0021,alpha,alpha_08,AI_midjourney,real,yes,78,confirm,real
P0021,alpha,alpha_09,real,real,no,55,confirm,real
P0021,alpha,alpha_10,AI_magnific,AI,yes,52,confirm,AI
P0021,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0021,alpha,alpha_12,AI_midjourney,AI,yes,62,change,real
P0021,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0021,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0021,alpha,alpha_15,AI_magnific,real,yes,78,change,AI
P0022,alpha,alpha_01,real,AI,yes,86,change,real
P0022,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0022,alpha,alpha_03,real,AI,no,78,confirm,AI
P0022,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0022,alpha,alpha_05,AI_magnific,real,yes,67,confirm,real
P0022,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0022,alpha,alpha_07,real,real,yes,82,change,AI
P0022,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0022,alpha,alpha_09,real,real,no,55,confirm,real
P0022,alpha,alpha_10,AI_magnific,AI,yes,52,confirm,AI
P0022,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0022,alpha,alpha_12,AI_midjourney,real,yes,62,confirm,real
P0022,alpha,alpha_13,AI_magnific,AI,yes,85,confirm,AI
P0022,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0022,alpha,alpha_15,AI_magnific,real,yes,78,change,AI
P0023,alpha,alpha_01,real,real,yes,86,confirm,real
P0023,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0023,alpha,alpha_03,real,AI,no,78,confirm,AI
P0023,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0023,alpha,alpha_05,AI_magnific,real,no,67,confirm,real
P0023,alpha,alpha_06,AI_midjourney,real,yes,38,confirm,real
P0023,alpha,alpha_07,real,real,no,82,confirm,real
P0023,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0023,alpha,alpha_09,real,AI,no,55,confirm,AI
P0023,alpha,alpha_10,AI_magnific,real,yes,52,confirm,real
P0023,alpha,alpha_11,real,AI,yes,91,confirm,AI
P0023,alpha,alpha_12,AI_midjourney,real,yes,62,confirm,real
P0023,alpha,alpha_13,AI_magnific,AI,yes,85,confirm,AI
P0023,alpha,alpha_14,AI_midjourney,AI,yes,66,change,real
P0023,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0024,alpha,alpha_01,real,real,no,86,confirm,real
P0024,alpha,alpha_02,AI_magnific,real,no,88,change,AI
P0024,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0024,alpha,alpha_04,AI_midjourney,real,no,74,confirm,real
P0024,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0024,alpha,alpha_06,AI_midjourney,real,no,38,confirm,real
P0024,alpha,alpha_07,real,real,no,82,confirm,real
P0024,alpha,alpha_08,AI_midjourney,AI,yes,78,confirm,AI
P0024,alpha,alpha_09,real,real,no,55,confirm,real
P0024,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0024,alpha,alpha_11,real,real,no,91,confirm,real
P0024,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0024,alpha,alpha_13,AI_magnific,real,yes,85,confirm,real
P0024,alpha,alpha_14,AI_midjourney,real,no,66,confirm,real
P0024,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0025,alpha,alpha_01,real,real,no,86,confirm,real
P0025,alpha,alpha_02,AI_magnific,real,no,88,change,AI
P0025,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0025,alpha,alpha_04,AI_midjourney,real,no,74,confirm,real
P0025,alpha,alpha_05,AI_magnific,real,no,67,confirm,real
P0025,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0025,alpha,alpha_07,real,real,no,82,confirm,real
P0025,alpha,alpha_08,AI_midjourney,real,no,78,confirm,real
P0025,alpha,alpha_09,real,real,no,55,confirm,real
P0025,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0025,alpha,alpha_11,real,real,no,91,confirm,real
P0025,alpha,alpha_12,AI_midjourney,real,no,62,confirm,real
P0025,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0025,alpha,alpha_14,AI_midjourney,real,no,66,confirm,real
P0025,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0026,alpha,alpha_01,real,real,yes,86,change,AI
P0026,alpha,alpha_02,AI_magnific,real,yes,88,confirm,real
P0026,alpha,alpha_03,real,AI,no,78,confirm,AI
P0026,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0026,alpha,alpha_05,AI_magnific,real,no,67,confirm,real
P0026,alpha,alpha_06,AI_midjourney,real,yes,38,confirm,real
P0026,alpha,alpha_07,real,real,yes,82,change,AI
P0026,alpha,alpha_08,AI_midjourney,real,yes,78,confirm,real
P0026,alpha,alpha_09,real,AI,no,55,confirm,AI
P0026,alpha,alpha_10,AI_magnific,AI,yes,52,change,real
P0026,alpha,alpha_11,real,real,yes,91,change,AI
P0026,alpha,alpha_12,AI_midjourney,real,yes,62,confirm,real
P0026,alpha,alpha_13,AI_magnific,real,yes,85,confirm,real
P0026,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0026,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0027,alpha,alpha_01,real,real,no,86,confirm,real
P0027,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0027,alpha,alpha_03,real,real,yes,78,confirm,real
P0027,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0027,alpha,alpha_05,AI_magnific,AI,no,67,confirm,AI
P0027,alpha,alpha_06,AI_midjourney,AI,no,38,confirm,AI
P0027,alpha,alpha_07,real,AI,no,82,confirm,AI
P0027,alpha,alpha_08,AI_midjourney,real,no,78,confirm,real
P0027,alpha,alpha_09,real,real,no,55,confirm,real
P0027,alpha,alpha_10,AI_magnific,AI,no,52,confirm,AI
P0027,alpha,alpha_11,real,real,yes,91,confirm,real
P0027,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0027,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0027,alpha,alpha_14,AI_midjourney,AI,no,66,confirm,AI
P0027,alpha,alpha_15,AI_magnific,AI,yes,78,confirm,AI
P0028,alpha,alpha_01,real,AI,yes,86,confirm,AI
P0028,alpha,alpha_02,AI_magnific,AI,yes,88,confirm,AI
P0028,alpha,alpha_03,real,real,no,78,confirm,real
P0028,alpha,alpha_04,AI_midjourney,real,no,74,confirm,real
P0028,alpha,alpha_05,AI_magnific,real,no,67,confirm,real
P0028,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0028,alpha,alpha_07,real,real,no,82,confirm,real
P0028,alpha,alpha_08,AI_midjourney,AI,no,78,confirm,AI
P0028,alpha,alpha_09,real,AI,no,55,confirm,AI
P0028,alpha,alpha_10,AI_magnific,real,yes,52,confirm,real
P0028,alpha,alpha_11,real,real,no,91,confirm,real
P0028,alpha,alpha_12,AI_midjourney,AI,no,62,change,real
P0028,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0028,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0028,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0029,alpha,alpha_01,real,AI,yes,86,confirm,AI
P0029,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
